,,,The predicted value of target variable from ML model,,,August Grade 1 is School month 1,Percentile based on a distribution and estimated parameters
Grade,pupilId,screeningId,WCPM_aloud_pred,date,Screening month,School month,Percentile
1,d9565119-44f1-4c00-be4f-61a2cbff00c2,a0993664-2827-4f0b-b859-479e597b71e9,58.365555,Recording date: 2019-06-12 (UTC),6,11,39
1,ec0c4e73-8740-42ea-8ec3-af73550d340c,75166e1e-2106-4c9b-919f-6fd9a09cf952,-1.6162653,Recording date: 2019-06-17 (UTC),6,11,4
1,ec0c4e73-8740-42ea-8ec3-af73550d340c,75166e1e-2106-4c9b-919f-6fd9a09cf952,2.763445,Recording date: 2019-06-17 (UTC),6,11,5
1,fc659e13-8698-4b34-b502-ee4c4fc60258,e6fa34c5-5424-4008-b9bc-d568b52277d4,45.02713,Recording date: 2019-06-17 (UTC),6,11,27
1,fc659e13-8698-4b34-b502-ee4c4fc60258,e6fa34c5-5424-4008-b9bc-d568b52277d4,62.475952,Recording date: 2019-06-17 (UTC),6,11,44
1,0cf8bd8b-507b-4039-b5b7-fef9aa6787c5,9cf0bc71-6a4c-482e-aa69-08318f0f7069,11.12483,Recording date: 2019-06-17 (UTC),6,11,7
1,0cf8bd8b-507b-4039-b5b7-fef9aa6787c5,9cf0bc71-6a4c-482e-aa69-08318f0f7069,3.4689121,Recording date: 2019-06-17 (UTC),6,11,5
1,1d8107f1-232e-4c49-a50b-36b9883c0d8f,b146edbe-aa6a-4f61-b4f2-d4459584920f,49.77238,Recording date: 2019-06-17 (UTC),6,11,31
1,1d8107f1-232e-4c49-a50b-36b9883c0d8f,b146edbe-aa6a-4f61-b4f2-d4459584920f,42.990883,Recording date: 2019-06-17 (UTC),6,11,25
1,2dbd3d5a-3bcd-4e82-9268-6f460d17c5c6,f7783e59-119f-4b84-b8d3-e9dd9851b9a0,2.7480106,Recording date: 2019-06-17 (UTC),6,11,5
1,2dbd3d5a-3bcd-4e82-9268-6f460d17c5c6,f7783e59-119f-4b84-b8d3-e9dd9851b9a0,8.656908,Recording date: 2019-06-17 (UTC),6,11,6
1,42fe099c-42bc-41b0-82b6-80e063efeb5d,4fdaead6-09e6-419f-a2e1-20bda4eec7f5,15.951464,Recording date: 2019-06-17 (UTC),6,11,9
1,42fe099c-42bc-41b0-82b6-80e063efeb5d,4fdaead6-09e6-419f-a2e1-20bda4eec7f5,10.431183,Recording date: 2019-06-17 (UTC),6,11,7
1,4846a4ba-7e05-40e3-85aa-70409d87cf92,eaa712f5-65f1-4cb2-a894-080f15bc8dc2,14.998386,Recording date: 2019-06-17 (UTC),6,11,8
1,4846a4ba-7e05-40e3-85aa-70409d87cf92,eaa712f5-65f1-4cb2-a894-080f15bc8dc2,0.079453796,Recording date: 2019-06-17 (UTC),6,11,4
1,6a18e8a1-d212-4946-ae65-8923135d1ae1,21b7e60d-12d4-4665-8417-e5fcbd128e39,41.521626,Recording date: 2019-06-17 (UTC),6,11,24
1,6a18e8a1-d212-4946-ae65-8923135d1ae1,21b7e60d-12d4-4665-8417-e5fcbd128e39,21.496876,Recording date: 2019-06-17 (UTC),6,11,11
1,734e0874-9a59-4a36-90ad-d4b08c39982b,7de47a63-418d-4b7a-a7c6-cf0aab4c3506,17.227724,Recording date: 2019-06-17 (UTC),6,11,9
1,734e0874-9a59-4a36-90ad-d4b08c39982b,7de47a63-418d-4b7a-a7c6-cf0aab4c3506,26.238825,Recording date: 2019-06-17 (UTC),6,11,14
1,8f8971df-f806-4db6-8743-abfda1b81025,ecd035b9-ca8e-4446-ae6a-92e9e9223792,23.192112,Recording date: 2019-06-17 (UTC),6,11,12
1,8f8971df-f806-4db6-8743-abfda1b81025,ecd035b9-ca8e-4446-ae6a-92e9e9223792,36.935226,Recording date: 2019-06-17 (UTC),6,11,21
1,0042261e-74bd-44ca-8c83-37e857bced28,869a5daa-c1f2-40e0-8e6a-c527e8ea6549,38.871315,Recording date: 2019-06-19 (UTC),6,11,22
1,0042261e-74bd-44ca-8c83-37e857bced28,869a5daa-c1f2-40e0-8e6a-c527e8ea6549,23.975107,Recording date: 2019-06-19 (UTC),6,11,13
1,025a381f-98f4-43b7-bff1-02384f2789f0,4d087d2f-711f-409c-9331-774dc6ea2682,20.238924,Recording date: 2019-06-19 (UTC),6,11,11
1,025a381f-98f4-43b7-bff1-02384f2789f0,4d087d2f-711f-409c-9331-774dc6ea2682,26.566078,Recording date: 2019-06-19 (UTC),6,11,14
1,2d222faf-eae2-4c86-b49a-d33666593a05,acf46d76-4a02-4fad-b4b9-063c5138137b,1.1070333,Recording date: 2019-06-19 (UTC),6,11,4
1,2d222faf-eae2-4c86-b49a-d33666593a05,acf46d76-4a02-4fad-b4b9-063c5138137b,12.735634,Recording date: 2019-06-19 (UTC),6,11,8
1,2fd8e42f-68db-4c49-b8e0-b7e077eae3e3,adf6bb42-c022-4037-94ee-08b83b3a3e63,11.34753,Recording date: 2019-06-20 (UTC),6,11,7
1,2fd8e42f-68db-4c49-b8e0-b7e077eae3e3,adf6bb42-c022-4037-94ee-08b83b3a3e63,7.1187086,Recording date: 2019-06-20 (UTC),6,11,6
1,76fa9f34-f41a-4674-a1eb-e1dd7f4b4fc1,f2472f26-2a24-45ac-90c2-2cb7bcb4dbd7,1.305376,Recording date: 2019-06-20 (UTC),6,11,4
1,76fa9f34-f41a-4674-a1eb-e1dd7f4b4fc1,f2472f26-2a24-45ac-90c2-2cb7bcb4dbd7,15.606777,Recording date: 2019-06-20 (UTC),6,11,9
1,7e448764-aa69-4cba-bfeb-4a728587ea4e,ae648c9a-7c49-4d4a-8c03-6b3b59ce06d7,0.32408386,Recording date: 2019-06-20 (UTC),6,11,4
1,7e448764-aa69-4cba-bfeb-4a728587ea4e,ae648c9a-7c49-4d4a-8c03-6b3b59ce06d7,18.174492,Recording date: 2019-06-20 (UTC),6,11,10
